"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

13.490,0.761,-5.860806,-51.636906,3.043578,1.568648,-1.968510,6.000000,130.515549,13.273737,6443.200195,5.860000,3.128000,44.860001,856.000000,827.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.846900,0.042000,155.399994,155.199997,154.699997,160.300003,13.158999,83.641998,186.979996,68.000000,68.000000,31.136913,10.000000,-0.449440,-0.046588,0.333094,-166.840317,-18.469044,292.000000,1.709000,373.838806,19.336023,1.393198,50.758755,31.153233,0.000000,-1.854371,155.300003,0.024016,42.066763709399,-84.237769983418,292.26
13.500,0.761,-5.860806,-51.636906,2.954749,1.556706,-2.037991,6.000000,130.515549,13.273682,6504.000000,6.100000,3.140000,45.400002,856.000000,826.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.852000,0.042000,155.000000,155.000000,154.000000,160.000000,13.160000,83.659996,186.979996,68.000000,68.000000,31.130699,10.000000,-0.468432,-0.049074,0.332521,-166.810516,-19.250559,292.000000,1.710000,372.652008,19.332165,1.393198,50.950005,31.054333,0.000000,-1.871806,155.000000,0.023831,42.066762560699,-84.237770669322,292.26
13.510,0.762,-2.809066,-43.702381,2.866277,1.493049,-1.899540,5.800000,130.515549,13.273626,6617.799805,6.180000,3.144000,46.400002,856.000000,822.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.880400,0.042000,155.300003,154.800003,153.899994,160.100006,13.160999,83.678001,186.979996,68.000000,68.000000,31.124485,10.000000,-0.484046,-0.049838,0.332521,-166.774994,-19.899147,292.000000,1.710000,372.830017,19.328306,1.393198,52.015003,31.069168,0.000000,-1.640663,155.050003,0.023547,42.066761412000,-84.237771355226,292.27
13.520,0.762,-3.419414,-47.974815,2.697203,1.457301,-1.919574,5.600000,130.515549,13.273572,6731.600098,6.260000,3.148000,47.400002,856.000000,818.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.908800,0.042000,155.600006,154.600006,153.800003,160.199997,13.162000,83.695999,186.979996,68.000000,68.000000,31.118271,10.000000,-0.499661,-0.050603,0.332521,-166.739471,-20.547735,292.000000,1.710000,373.008057,19.324448,1.393198,53.080006,31.084003,0.000000,-1.409520,155.100006,0.023263,42.066760263300,-84.237772041130,292.27
13.530,0.763,-6.471153,-52.247253,2.488191,1.485837,-1.977567,5.400000,130.515549,13.273517,6845.399902,6.340000,3.152000,48.400002,856.000000,815.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.937200,0.042000,155.899994,154.399994,153.699997,160.300003,13.163000,83.713997,186.979996,68.000000,68.000000,31.112057,10.000000,-0.515275,-0.051368,0.332521,-166.703949,-21.196323,292.000000,1.710000,373.186066,19.320587,1.393198,54.145004,31.098837,0.000000,-1.178377,155.149994,0.022979,42.066759114601,-84.237772727034,292.27
13.540,0.763,-5.860806,-49.805862,2.521847,1.532616,-2.032100,5.200000,130.515549,13.273462,6959.200195,6.420000,3.156000,49.400002,856.000000,811.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.965600,0.042000,156.199997,154.199997,153.600006,160.399994,13.164000,83.732002,186.979996,68.000000,68.000000,31.105843,10.000000,-0.530890,-0.052133,0.332521,-166.668427,-21.844912,292.000000,1.710000,373.364075,19.316729,1.393198,55.210007,31.113672,0.000000,-0.947235,155.199997,0.022695,42.066757965901,-84.237773412938,292.27
13.550,0.763,-5.860806,-49.195511,2.813595,1.537501,-2.221057,5.000000,130.515549,13.273407,7073.000000,6.500000,3.160000,50.400002,856.000000,808.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.994000,0.042000,156.500000,154.000000,153.500000,160.500000,13.165000,83.750000,186.979996,68.000000,68.000000,31.099628,10.000000,-0.546504,-0.052898,0.332521,-166.632904,-22.493500,292.000000,1.710000,373.542114,19.312870,1.393198,56.275005,31.128508,0.000000,-0.716092,155.250000,0.022411,42.066756817202,-84.237774098842,292.27
13.560,0.764,-3.419414,-46.143772,3.014171,1.489221,-2.297696,4.800000,130.515549,13.273352,7140.000000,6.520000,3.158000,50.840000,856.000000,804.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.022400,0.042000,156.800003,153.800003,153.399994,160.600006,13.165999,83.767998,186.979996,68.000000,68.000000,31.093416,10.000000,-0.562118,-0.053662,0.332521,-166.597382,-23.142090,292.000000,1.710000,373.720123,19.309011,1.393198,57.340004,31.143343,0.000000,-0.484949,155.300003,0.022127,42.066755668502,-84.237774784745,292.27
13.570,0.764,-3.419414,-50.416210,2.894007,1.404543,-2.047653,4.600000,130.515549,13.273297,7207.000000,6.540000,3.156000,51.280003,856.000000,800.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.050800,0.042000,157.100006,153.600006,153.300003,160.699997,13.167000,83.785995,186.979996,68.000000,68.000000,31.087202,10.000000,-0.577733,-0.054427,0.332521,-166.561859,-23.790678,292.000000,1.710000,373.898132,19.305153,1.393198,58.405006,31.158178,0.000000,-0.253806,155.350006,0.021843,42.066754511483,-84.237775435518,292.27
13.580,0.765,-6.471153,-46.754120,2.597738,1.311300,-1.836818,4.400000,130.515549,13.273242,7274.000000,6.560000,3.154000,51.720001,856.000000,796.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.079200,0.042000,157.399994,153.399994,153.199997,160.800003,13.167999,83.804001,186.979996,68.000000,68.000000,31.080988,10.000000,-0.593347,-0.055192,0.332521,-166.526337,-24.439266,292.000000,1.710000,374.076141,19.301292,1.393198,59.470005,31.173012,0.000000,-0.022663,155.399994,0.021559,42.066753341985,-84.237776033592,292.27
13.590,0.765,-5.250458,-42.481686,2.399506,1.260793,-1.945358,4.200000,130.515549,13.273188,7341.000000,6.580000,3.152000,52.160004,856.000000,792.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.107600,0.042000,157.699997,153.199997,153.100006,160.899994,13.169000,83.821999,186.979996,68.000000,68.000000,31.074774,10.000000,-0.608962,-0.055957,0.332521,-166.490814,-25.087854,292.000000,1.710000,374.254181,19.297434,1.393198,60.535007,31.187847,0.000000,0.208480,155.449997,0.021275,42.066752172486,-84.237776631667,292.27
13.600,0.766,0.853022,-45.533424,2.361357,1.264776,-2.085762,4.000000,130.515549,13.273132,7408.000000,6.600000,3.150000,52.600002,856.000000,789.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.136000,0.042000,158.000000,153.000000,153.000000,161.000000,13.170000,83.839996,186.979996,68.000000,68.000000,31.068560,10.000000,-0.624576,-0.056722,0.332521,-166.455292,-25.736443,292.000000,1.710000,374.432190,19.293575,1.393198,61.600006,31.202682,0.000000,0.439622,155.500000,0.020991,42.066751002988,-84.237777229741,292.27
13.610,0.766,0.242674,-47.974815,2.361163,1.258108,-2.014956,4.100000,130.515549,13.273077,7345.000000,6.580000,3.150000,52.200001,856.000000,791.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.129000,0.042000,158.699997,153.899994,152.899994,161.399994,13.171000,83.858002,186.979996,68.000000,68.000000,31.056133,10.000000,-0.636175,-0.055829,0.331948,-166.416336,-26.233770,292.000000,1.710000,374.610199,19.285858,1.393198,61.337505,31.217518,0.000000,0.657749,156.300003,0.021260,42.066749833490,-84.237777827815,292.28
13.620,0.767,-8.302197,-51.026558,2.349240,1.191862,-1.907807,4.200000,130.515549,13.273023,7282.000000,6.560000,3.150000,51.800003,856.000000,793.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.122000,0.042000,159.399994,154.800003,152.800003,161.800003,13.172000,83.875999,186.979996,68.000000,68.000000,31.043705,10.000000,-0.647775,-0.054937,0.331375,-166.377365,-26.731098,292.000000,1.710000,374.788239,19.278141,1.393198,61.075005,31.232351,0.000000,0.875876,157.100006,0.021530,42.066748663991,-84.237778425890,292.28
13.630,0.767,-2.198718,-42.481686,2.359789,1.103752,-1.948261,4.300000,130.515549,13.272967,7219.000000,6.540000,3.150000,51.400002,856.000000,795.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.115000,0.042000,160.100006,155.699997,152.699997,162.199997,13.172999,83.893997,186.979996,68.000000,68.000000,31.031277,10.000000,-0.659374,-0.054045,0.330802,-166.338409,-27.228424,292.000000,1.710000,374.966248,19.270424,1.393198,60.812504,31.247187,0.000000,1.094003,157.899994,0.021799,42.066747494493,-84.237779023964,292.28
13.640,0.768,-2.198718,-42.481686,2.406305,1.071819,-2.005559,4.400000,130.515549,13.272913,7156.000000,6.520000,3.150000,51.000004,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.108000,0.042000,160.800003,156.600006,152.600006,162.600006,13.174000,83.911995,186.979996,68.000000,68.000000,31.018850,10.000000,-0.670973,-0.053153,0.330229,-166.299438,-27.725752,292.000000,1.710000,375.144257,19.262707,1.393198,60.550003,31.262022,0.000000,1.312130,158.699997,0.022069,42.066746324995,-84.237779622039,292.28
13.650,0.768,-7.691850,-49.805862,2.518344,1.124753,-1.899601,4.500000,130.515549,13.272858,7093.000000,6.500000,3.150000,50.600002,856.000000,799.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.101000,0.042000,161.500000,157.500000,152.500000,163.000000,13.174999,83.930000,186.979996,68.000000,68.000000,31.006424,10.000000,-0.682572,-0.052260,0.329656,-166.260483,-28.223080,292.000000,1.710000,375.322266,19.254990,1.393198,60.287502,31.276855,0.000000,1.530257,159.500000,0.022338,42.066745155496,-84.237780220113,292.28
13.660,0.769,-4.640110,-48.585163,2.688287,1.198869,-1.818603,4.600000,130.515549,13.272802,7055.000000,6.500000,3.148000,50.260002,856.000000,802.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.094000,0.042000,162.199997,158.399994,152.399994,163.399994,13.176000,83.947998,186.979996,68.000000,68.000000,30.993996,10.000000,-0.694172,-0.051368,0.329083,-166.221527,-28.720407,292.000000,1.710000,375.500305,19.247271,1.393198,60.025002,31.291691,0.000000,1.748384,160.300003,0.022608,42.066743985998,-84.237780818188,292.28
13.670,0.769,-4.029761,-47.974815,2.786769,1.206457,-2.016258,4.700000,130.515549,13.272748,7017.000000,6.500000,3.146000,49.920002,856.000000,806.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.087000,0.042000,162.899994,159.300003,152.300003,163.800003,13.177000,83.965996,186.979996,68.000000,68.000000,30.981567,10.000000,-0.705771,-0.050476,0.328511,-166.182556,-29.217735,292.000000,1.710000,375.678314,19.239553,1.393198,59.762501,31.306526,0.000000,1.966511,161.100006,0.022877,42.066742816500,-84.237781416262,292.28
13.680,0.769,-4.640110,-47.364468,2.757188,1.153865,-2.235573,4.800000,130.515549,13.272693,6979.000000,6.500000,3.144000,49.580002,856.000000,809.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.080000,0.042000,163.600006,160.199997,152.199997,164.199997,13.177999,83.984001,186.979996,68.000000,68.000000,30.969141,10.000000,-0.717370,-0.049584,0.327938,-166.143600,-29.715061,292.000000,1.710000,375.856323,19.231836,1.393198,59.500000,31.321362,0.000000,2.184638,161.899994,0.023146,42.066741647001,-84.237782014337,292.28
13.690,0.770,-0.978022,-41.260990,2.722049,1.126277,-2.166056,4.900000,130.515549,13.272638,6941.000000,6.500000,3.142000,49.240002,856.000000,813.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.073000,0.042000,164.300003,161.100006,152.100006,164.600006,13.179000,84.001999,186.979996,68.000000,68.000000,30.956715,10.000000,-0.728969,-0.048691,0.327365,-166.104630,-30.212389,292.000000,1.710000,376.034363,19.224119,1.393198,59.237499,31.336195,0.000000,2.402765,162.699997,0.023416,42.066740477503,-84.237782612411,292.28
13.700,0.770,-3.419414,-46.754120,2.724222,1.139077,-2.012151,5.000000,130.515549,13.272583,6903.000000,6.500000,3.140000,48.900002,856.000000,817.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.066000,0.042000,165.000000,162.000000,152.000000,165.000000,13.179999,84.019997,186.979996,68.000000,68.000000,30.944286,10.000000,-0.740569,-0.047799,0.326792,-166.065674,-30.709717,292.000000,1.710000,376.212372,19.216402,1.393198,58.974998,31.351030,0.000000,2.620892,163.500000,0.023685,42.066739286412,-84.237783112392,292.28
13.710,0.771,-10.133242,-52.857601,2.725502,1.127899,-1.956809,5.000000,130.515549,13.272528,6918.000000,6.500000,3.142000,49.040001,856.000000,816.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.068400,0.042000,164.899994,161.899994,152.100006,164.899994,13.181000,84.037994,186.979996,68.000000,68.000000,30.956715,10.000000,-0.746560,-0.045377,0.326219,-166.018692,-30.996195,292.000000,1.710000,376.271698,19.224119,1.393198,59.064999,31.355976,0.000000,2.696686,163.399994,0.023600,42.066738092922,-84.237783601474,292.28
13.720,0.771,-8.302197,-43.702381,2.831552,1.090399,-1.900889,5.000000,130.515549,13.272473,6933.000000,6.500000,3.144000,49.180000,856.000000,815.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.070800,0.042000,164.800003,161.800003,152.199997,164.800003,13.182000,84.056000,186.979996,68.000000,68.000000,30.969141,10.000000,-0.752550,-0.042955,0.325646,-165.971710,-31.282673,292.000000,1.710000,376.331055,19.231836,1.393198,59.154999,31.360920,0.000000,2.772480,163.300003,0.023514,42.066736899432,-84.237784090556,292.29
13.730,0.772,-5.250458,-41.871338,3.016792,1.071663,-1.865382,5.000000,130.515549,13.272418,6948.000000,6.500000,3.146000,49.320004,856.000000,814.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.073200,0.042000,164.699997,161.699997,152.300003,164.699997,13.183000,84.073997,186.979996,68.000000,68.000000,30.981567,10.000000,-0.758541,-0.040534,0.325073,-165.924728,-31.569153,292.000000,1.710000,376.390381,19.239553,1.393198,59.245003,31.365864,0.000000,2.848273,163.199997,0.023429,42.066735705942,-84.237784579638,292.29
13.740,0.772,-5.860806,-46.754120,2.999017,1.062258,-1.846660,5.000000,130.515549,13.272364,6963.000000,6.500000,3.148000,49.460003,856.000000,813.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.075600,0.042000,164.600006,161.600006,152.399994,164.600006,13.184000,84.091995,186.979996,68.000000,68.000000,30.993996,10.000000,-0.764532,-0.038112,0.324500,-165.877747,-31.855631,292.000000,1.710000,376.449738,19.247271,1.393198,59.335003,31.370810,0.000000,2.924067,163.100006,0.023343,42.066734512452,-84.237785068720,292.29
13.750,0.773,-2.198718,-41.871338,2.794267,1.039917,-1.732061,5.000000,130.515549,13.272308,6978.000000,6.500000,3.150000,49.600002,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.078000,0.042000,164.500000,161.500000,152.500000,164.500000,13.184999,84.110001,186.979996,68.000000,68.000000,31.006424,10.000000,-0.770523,-0.035690,0.323927,-165.830765,-32.142109,292.000000,1.710000,376.509064,19.254990,1.393198,59.425003,31.375755,0.000000,2.999861,163.000000,0.023257,42.066733318962,-84.237785557802,292.29
13.760,0.773,-2.198718,-43.702381,2.701148,1.019223,-1.644400,5.000000,130.515549,13.272253,7006.000000,6.500000,3.150000,49.840000,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.080400,0.042000,164.399994,161.399994,152.600006,164.399994,13.186000,84.127998,186.979996,68.000000,68.000000,31.018850,10.000000,-0.776514,-0.033268,0.323354,-165.783783,-32.428589,292.000000,1.710000,376.568390,19.262707,1.393198,59.515003,31.380699,0.000000,3.075654,162.899994,0.023172,42.066732125472,-84.237786046883,292.29
13.770,0.774,-10.133242,-51.026558,2.686198,1.025579,-1.747418,5.000000,130.515549,13.272199,7034.000000,6.500000,3.150000,50.080002,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.082800,0.042000,164.300003,161.300003,152.699997,164.300003,13.186999,84.145996,186.979996,68.000000,68.000000,31.031277,10.000000,-0.782505,-0.030846,0.322781,-165.736801,-32.715065,292.000000,1.710000,376.627747,19.270424,1.393198,59.605003,31.385643,0.000000,3.151448,162.800003,0.023086,42.066730931982,-84.237786535965,292.29
13.780,0.774,-7.691850,-43.702381,2.558354,1.059702,-1.949076,5.000000,130.515549,13.272143,7062.000000,6.500000,3.150000,50.320000,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.085200,0.042000,164.199997,161.199997,152.800003,164.199997,13.188000,84.164001,186.979996,68.000000,68.000000,31.043705,10.000000,-0.788495,-0.028424,0.322208,-165.689819,-33.001545,292.000000,1.710000,376.687073,19.278141,1.393198,59.695007,31.390589,0.000000,3.227242,162.699997,0.023001,42.066729738491,-84.237787025047,292.29
13.790,0.774,-3.419414,-42.481686,2.425226,1.068502,-2.086426,5.000000,130.515549,13.272089,7090.000000,6.500000,3.150000,50.560001,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.087600,0.042000,164.100006,161.100006,152.899994,164.100006,13.189000,84.181999,186.979996,68.000000,68.000000,31.056133,10.000000,-0.794486,-0.026003,0.321635,-165.642838,-33.288021,292.000000,1.710000,376.746429,19.285858,1.393198,59.785007,31.395535,0.000000,3.303035,162.600006,0.022915,42.066728545001,-84.237787514129,292.29
13.800,0.775,-0.978022,-46.143772,2.437567,1.013405,-2.105174,5.000000,130.515549,13.272034,7118.000000,6.500000,3.150000,50.799999,856.000000,812.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.090000,0.042000,164.000000,161.000000,153.000000,164.000000,13.190000,84.199997,186.979996,68.000000,68.000000,31.068560,10.000000,-0.800477,-0.023581,0.321062,-165.595856,-33.574501,292.000000,1.710000,376.805756,19.293575,1.393198,59.875008,31.400478,0.000000,3.378829,162.500000,0.022829,42.066727351511,-84.237788003211,292.29
13.810,0.775,0.242674,-47.364468,2.539440,0.949574,-2.123800,5.000000,130.515549,13.271978,7132.399902,6.500000,3.146000,50.860001,856.000000,809.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.093100,0.042000,164.300003,161.399994,153.100006,164.000000,13.191000,84.217995,186.979996,68.000000,68.000000,31.074774,10.000000,-0.800605,-0.020394,0.319916,-165.543137,-33.588253,292.000000,1.710000,376.865082,19.297434,1.393198,59.991257,31.405422,0.000000,3.335254,162.850006,0.022854,42.066726158021,-84.237788492293,292.29
13.820,0.776,-5.860806,-52.857601,2.645142,0.940714,-2.269152,5.000000,130.515549,13.271924,7146.799805,6.500000,3.142000,50.920002,856.000000,806.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.096200,0.042000,164.600006,161.800003,153.199997,164.000000,13.191999,84.236000,186.979996,68.000000,68.000000,31.080988,10.000000,-0.800732,-0.017208,0.318770,-165.490433,-33.602005,292.000000,1.710000,376.924438,19.301292,1.393198,60.107506,31.410368,0.000000,3.291679,163.199997,0.022878,42.066724954864,-84.237788933841,292.29
13.830,0.776,-2.198718,-47.974815,2.709166,0.990588,-2.378172,5.000000,130.515549,13.271869,7161.200195,6.500000,3.138000,50.980000,856.000000,803.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.099300,0.042000,164.899994,162.199997,153.300003,164.000000,13.193000,84.253998,186.979996,68.000000,68.000000,31.087202,10.000000,-0.800859,-0.014021,0.317624,-165.437714,-33.615753,292.000000,1.710000,376.983765,19.305153,1.393198,60.223755,31.415314,0.000000,3.248104,163.550003,0.022902,42.066723737207,-84.237789304089,292.29
13.840,0.777,-5.250458,-47.974815,2.699140,1.086117,-2.236425,5.000000,130.515549,13.271814,7175.600098,6.500000,3.134000,51.040001,856.000000,800.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.102400,0.042000,165.199997,162.600006,153.399994,164.000000,13.194000,84.271996,186.979996,68.000000,68.000000,31.093416,10.000000,-0.800987,-0.010834,0.316478,-165.385010,-33.629505,292.000000,1.710000,377.043121,19.309011,1.393198,60.340004,31.420258,0.000000,3.204529,163.899994,0.022926,42.066722519550,-84.237789674336,292.29
13.850,0.777,-10.743589,-50.416210,2.673323,1.172214,-2.008729,5.000000,130.515549,13.271759,7190.000000,6.500000,3.130000,51.100002,856.000000,798.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.105500,0.042000,165.500000,163.000000,153.500000,164.000000,13.195000,84.290001,186.979996,68.000000,68.000000,31.099628,10.000000,-0.801114,-0.007648,0.315332,-165.332291,-33.643257,292.000000,1.710000,377.102448,19.312870,1.393198,60.456253,31.425201,0.000000,3.160954,164.250000,0.022951,42.066721301893,-84.237790044584,292.29
13.860,0.778,-5.860806,-46.754120,2.713900,1.153867,-1.979046,5.000000,130.515549,13.271704,7191.000000,6.080000,3.116000,51.200001,856.000000,797.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,2.108600,0.042000,165.800003,163.399994,153.600006,164.000000,13.196000,84.307999,186.979996,68.000000,68.000000,31.105843,10.000000,-0.801242,-0.004461,0.314187,-165.279572,-33.657009,292.000000,1.710000,377.161774,19.316729,1.393198,60.572502,31.430147,0.000000,3.117379,164.600006,0.022975,42.066720084235,-84.237790414832,292.29
